Obstacle Data Summary
World Name      : marsyard.world
Heightmap       : /home/saif/Desktop/ROAR/simulation_ws/src/navMission_setup/rock_generator/heightmap_tools/marsyard_heightmap.npz
Total Placed    : 319
Density         : 0.5 rocks/m²
Collidable Ratio: 0.5
Spacing Min     : 1.0 m
Min Terrain Z   : 0.15 m
Deadends        : False
Timestamped File: obstacle_data_20260722_165851.npy

[  1] Rock_1       | Model #9 | Pos: ( 11.254,   9.143,  1.260) | Collidable: False
[300] Rock_300     | Model #7 | Pos: (  4.131,  -3.586,  1.681) | Collidable: False
[301] Rock_301     | Model #6 | Pos: (-14.161,  -9.439,  0.917) | Collidable: False
[302] Rock_302     | Model #9 | Pos: ( -5.026,  -5.726,  1.151) | Collidable: False
[303] Rock_303     | Model #7 | Pos: (-16.799,  -8.250,  1.215) | Collidable: False
[304] Rock_304     | Model #2 | Pos: (  8.827,   4.279,  1.039) | Collidable: False
[305] Rock_305     | Model #6 | Pos: (  6.908,  -5.394,  1.715) | Collidable: True
[307] Rock_307     | Model #8 | Pos: ( -3.380,   6.742,  1.302) | Collidable: True
[308] Rock_308     | Model #4 | Pos: ( -9.496,  -7.917,  0.916) | Collidable: False
[312] Rock_312     | Model #4 | Pos: ( -8.237,   7.461,  1.232) | Collidable: True
[313] Rock_313     | Model #5 | Pos: (-11.763,  -1.531,  1.178) | Collidable: False
[315] Rock_315     | Model #5 | Pos: ( -2.422,   9.776,  0.852) | Collidable: True
[318] Rock_318     | Model #1 | Pos: (-13.744,   7.845,  1.153) | Collidable: False
[319] Rock_319     | Model #4 | Pos: (-14.313,  -6.221,  1.073) | Collidable: True
[320] Rock_320     | Model #8 | Pos: (-11.080, -10.969,  0.892) | Collidable: False
[321] Rock_321     | Model #9 | Pos: ( -7.283,   4.428,  1.275) | Collidable: False
[322] Rock_322     | Model #4 | Pos: (  6.444,   8.152,  0.893) | Collidable: False
[324] Rock_324     | Model #1 | Pos: (  6.171,  -4.548,  1.763) | Collidable: False
[329] Rock_329     | Model #2 | Pos: ( -1.480,  -8.266,  1.271) | Collidable: False
[335] Rock_335     | Model #7 | Pos: (  5.893,  10.968,  1.330) | Collidable: False
[336] Rock_336     | Model #7 | Pos: (  7.985,   9.422,  0.958) | Collidable: False
[342] Rock_342     | Model #4 | Pos: ( -6.379,   2.364,  1.309) | Collidable: False
